,driver_id,lap_time,race_id,year
0,13,76432,907,2014
1,13,73768,907,2014
2,13,74233,907,2014
3,13,74377,907,2014
4,13,74462,907,2014
5,13,74013,907,2014
6,13,74295,907,2014
7,13,74210,907,2014
8,13,74504,907,2014
9,13,74558,907,2014
10,13,74593,907,2014
11,13,74702,907,2014
12,13,75183,907,2014
13,13,78985,907,2014
14,13,93305,907,2014
15,13,74640,907,2014
16,13,74699,907,2014
17,13,74545,907,2014
18,13,74058,907,2014
19,13,74180,907,2014
20,13,74431,907,2014
21,13,74611,907,2014
22,13,74579,907,2014
23,13,74262,907,2014
24,13,74088,907,2014
25,13,74086,907,2014
26,13,74388,907,2014
27,13,75060,907,2014
28,13,75099,907,2014
29,13,73998,907,2014
30,13,74089,907,2014
31,13,74000,907,2014
32,13,74082,907,2014
33,13,73785,907,2014
34,13,74165,907,2014
35,13,73686,907,2014
36,13,74303,907,2014
37,13,73792,907,2014
38,13,74250,907,2014
39,13,74144,907,2014
40,13,74431,907,2014
41,13,74373,907,2014
42,13,77951,907,2014
43,13,90407,907,2014
44,13,72695,907,2014
45,13,73146,907,2014
46,13,72992,907,2014
47,13,72772,907,2014
48,13,73148,907,2014
49,13,72704,907,2014
50,13,73446,907,2014
51,13,73124,907,2014
52,13,73073,907,2014
53,13,73634,907,2014
54,13,73366,907,2014
55,13,72739,907,2014
56,13,72905,907,2014
57,13,73005,907,2014
58,13,72921,907,2014
59,13,73351,907,2014
60,13,72999,907,2014
61,13,72831,907,2014
62,13,72586,907,2014
63,13,72667,907,2014
64,13,72641,907,2014
65,13,73163,907,2014
66,13,73178,907,2014
67,13,73687,907,2014
68,13,74107,907,2014
69,13,74611,907,2014
70,13,75041,907,2014
71,822,77401,907,2014
72,822,73809,907,2014
73,822,74203,907,2014
74,822,74508,907,2014
75,822,74205,907,2014
76,822,73983,907,2014
77,822,74198,907,2014
78,822,74584,907,2014
79,822,74577,907,2014
80,822,74380,907,2014
81,822,74635,907,2014
82,822,74938,907,2014
83,822,75038,907,2014
84,822,75678,907,2014
85,822,78259,907,2014
86,822,90399,907,2014
87,822,74318,907,2014
88,822,74443,907,2014
89,822,74539,907,2014
90,822,74364,907,2014
91,822,74448,907,2014
92,822,74520,907,2014
93,822,74265,907,2014
94,822,74283,907,2014
95,822,73912,907,2014
96,822,74309,907,2014
97,822,74095,907,2014
98,822,74142,907,2014
99,822,73949,907,2014
100,822,74652,907,2014
101,822,74413,907,2014
102,822,73944,907,2014
103,822,74297,907,2014
104,822,73874,907,2014
105,822,73792,907,2014
106,822,73572,907,2014
107,822,73607,907,2014
108,822,73748,907,2014
109,822,73588,907,2014
110,822,75006,907,2014
111,822,77530,907,2014
112,822,90208,907,2014
113,822,73325,907,2014
114,822,73875,907,2014
115,822,73551,907,2014
116,822,73516,907,2014
117,822,73337,907,2014
118,822,73390,907,2014
119,822,73217,907,2014
120,822,72858,907,2014
121,822,72817,907,2014
122,822,73105,907,2014
123,822,73096,907,2014
124,822,73262,907,2014
125,822,72975,907,2014
126,822,73538,907,2014
127,822,73580,907,2014
128,822,73194,907,2014
129,822,72808,907,2014
130,822,73182,907,2014
131,822,72851,907,2014
132,822,73053,907,2014
133,822,72581,907,2014
134,822,72688,907,2014
135,822,72699,907,2014
136,822,73476,907,2014
137,822,73103,907,2014
138,822,73236,907,2014
139,822,72750,907,2014
140,822,72672,907,2014
141,822,72800,907,2014
142,3,78359,907,2014
143,3,74207,907,2014
144,3,73802,907,2014
145,3,74179,907,2014
146,3,74307,907,2014
147,3,74048,907,2014
148,3,74691,907,2014
149,3,74534,907,2014
150,3,74563,907,2014
151,3,74416,907,2014
152,3,77649,907,2014
153,3,90993,907,2014
154,3,73940,907,2014
155,3,74976,907,2014
156,3,74832,907,2014
157,3,74518,907,2014
158,3,74409,907,2014
159,3,74418,907,2014
160,3,74291,907,2014
161,3,74340,907,2014
162,3,74473,907,2014
163,3,74366,907,2014
164,3,74190,907,2014
165,3,74469,907,2014
166,3,74003,907,2014
167,3,74293,907,2014
168,3,73706,907,2014
169,3,73866,907,2014
170,3,73958,907,2014
171,3,75391,907,2014
172,3,74324,907,2014
173,3,73726,907,2014
174,3,74055,907,2014
175,3,73921,907,2014
176,3,73677,907,2014
177,3,73586,907,2014
178,3,73358,907,2014
179,3,73442,907,2014
180,3,73438,907,2014
181,3,76726,907,2014
182,3,90331,907,2014
183,3,73314,907,2014
184,3,73515,907,2014
185,3,73130,907,2014
186,3,73403,907,2014
187,3,73301,907,2014
188,3,72724,907,2014
189,3,72603,907,2014
190,3,72674,907,2014
191,3,72598,907,2014
192,3,72958,907,2014
193,3,73205,907,2014
194,3,72970,907,2014
195,3,73122,907,2014
196,3,72905,907,2014
197,3,73162,907,2014
198,3,73200,907,2014
199,3,73163,907,2014
